data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,label
18.219195569486324,0.09724632370420547,0.06934712950493997,-95.7634671149934,-0.027890967282181624,-99.23237154757484,-470.8630556985523,67.63510109693274,61.59349874040721,449.7538392365191,0.747013683209526,536.5988091762332,-0.1153896891680886,0.15300789640124987,0
20.362860076399485,0.09005141806494635,0.07309592025097654,-97.5298173588696,-0.02774270645490136,-113.1863301035956,-351.3105603943597,57.71369861753976,48.289442103719914,605.8014377424129,0.6894930928751428,408.01644373430895,-0.12584610683534866,0.16092286250447266,1
22.88110290435134,0.09193910798442785,0.06846253118060977,-100.56104572549191,-0.016058506845122663,-104.95665816005403,-406.1213777964363,72.83436564291546,51.87519122771253,421.9572078462302,0.7786909765686205,470.864077226641,-0.12996623759460965,0.14016541214218278,0
9.616201426341199,0.10078101918488962,0.08466808288842427,-95.86817345953331,-0.024141226501380526,-96.79569259684217,-293.89730051452176,66.20597147256622,55.29679992042883,397.4789584275915,0.8401555606198736,393.35677269524905,-0.12782870886491837,0.04638711978950747,0
14.026096141424729,0.09244460062671074,0.07699262043146461,-93.49609117764871,-0.018685647111731908,-97.76518566277619,-387.91277267133256,56.58438777674535,39.46728649239477,476.73612067397056,0.7233550183780195,304.4442987097023,-0.12487519527396664,0.2577868745185,1
23.522431668729265,0.09225157576853946,0.07511874338084963,-86.20017964458061,-0.028011358434246344,-98.91466890970656,-309.6658486015989,48.784149982709884,47.868734022071685,584.9610429175813,0.6943869442192001,429.17863459618616,-0.12154994244716967,0.2606613037017741,1
28.972942772827952,0.08717339539735654,0.06684118184981921,-98.90880974017523,-0.036937947281953,-102.81605544233341,-396.309916955077,71.04732666031161,51.466637668715954,385.86877418603916,0.714761269197661,485.86876010725985,-0.11025017766044234,0.06226825711144759,0
22.102695356055015,0.08648759735073763,0.08526893278857255,-96.2746168495175,-0.028152031026878913,-105.76205610800169,-461.90327942711446,63.81185023993415,48.97043664901499,505.5658845950594,0.6500743020125108,447.0008006164212,-0.1333190378995682,0.20378952406411494,0
23.822712650805613,0.08971060124922879,0.08811944146952783,-102.54351983886363,-0.02550699320510298,-97.6754134133233,-391.9687178277307,52.55191264784987,53.98659801046129,556.3169341826317,0.5939618117356938,310.7388377449935,-0.11513552912314381,0.3648905058768084,0
28.994123391141027,0.08681861950711989,0.05841776536252632,-101.23144825791543,-0.028589503890896376,-91.93231300015798,-526.5018380558848,69.44290416218176,46.851193337785055,471.69437705606373,0.7592450542160424,438.74895093896936,-0.13422740672836714,0.254272807420693,0
